sequencer file example , simple 4/4 , 4 beat
hihat on 0
bassdrum on 1
snare on 2

I I I I I I I I I I I I I I
n n n n n n n n n n n n n n
s s s s s s s s s s s s s s
t t t t t t t t t t t t t t
r r r r r r r r r r r r r r
u u u u u u u u u u u u u u
m m m m m m m m m m m m m m
e e e e e e e e e e e e e e
n n n n n n n n n n n n n n
t t t t t t t t t t t t t t
0 1 2 3 4 5 6 7 8 9 a b c d


LOOPLEN	14
1 0 0 0 0 1 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 0 0 0 0 0 0 1

